Kab/Kota,Provinsi,X1,X2,X3,X4,X5,X6
Tanjung Jabung Timur,,65,"70,77",117591,"10,14","2,06",769919
Tanjung Jabung Barat,,117,"72,01",167518,"9,54","3,2",701331
Tebo,,106,"72,67",64162,"6,12","2,5",696199
Bungo,,129,"74,44",71624,"5,06","4,67",874412
Kota Jambi,,68,"81,77",69033,"7,73","7,38",868627
Kota Sungai Penuh,,69,"77,93",102060,"2,92","4,3",787928
Bengkulu Selatan,Bengkulu,140,"74,53",45375,"17,1","3,25",670959
Rejang Lebong,,139,"75,04",45238,"14,65","2,43",674082
Bengkulu Utara,,190,"73,1",41214,"10,96","2,89",711552
Kaur,,172,"71,53",37416,"17,12","3,71",656094
Seluma,,169,"70,98",29171,"17,23","2,38",670689
Mukomuko,,144,"73,65",37513,"10,76","2,41",835025
Lebong,,98,"73,54",40991,"10,45","2,55",725782
Kepahiang,,106,"72,05",40072,"12,9","2,37",643441
Bengkulu Tengah,,130,"71,67",55284,"10,14","2,56",716161
Kota Bengkulu,,60,"83,95",83430,"13,76",5,825390
Ogan Komering Ulu,Sumatera Selatan,148,"71,55",53428,"10,68","4,05",594982
Ogan Komering Ilir,,277,"69,33",57799,"12,08","3,38",741165
Muara Enim,,231,71,182108,"9,79","4,09",692043
Lahat,,341,"69,77",66582,"14,14","3,11",753846
Musi Rawas,,164,"68,95",61857,"13,44","1,94",689407
Musi Banyuasin,,199,"70,12",142138,"12,88","2,13",772406
Banyu Asin,,262,"69,51",44734,"9,31","3,24",772262
Ogan Komering Ulu Selatan,,185,"67,65",27724,"9,86","1,8",572083
Ogan Komering Ulu Timur,,301,"71,55",31504,"9,75","3,45",636089
Ogan Ilir,,235,"69,4",35023,"12,3","2,65",649093
Empat Lawang,,139,"67,25",19448,"10,78","2,84",560804
Penukal Abab Lematang Ilir,,63,"67,48",45701,"9,82","3,72",574436
Musi Rawas Utara,,68,"67,4",48869,"17,38","4,91",685605
Kota Palembang,,107,"80,57",121154,"9,77","6,98",815001
Kota Prabumulih,,46,"77,08",51808,"10,13","4,94",588301
Kota Pagar Alam,,33,"71,19",25543,"8,18","2,34",669029
Kota Lubuklinggau,,68,"76,82",35432,"11,14","5,29",636082
Bangka,Kepulauan Bangka Belitung,79,"74,66",58572,"4,24","4,91",896864
Belitung,,49,"74,96",73795,"6,11","3,88",968940
Bangka Barat,,64,"71,36",91214,"2,59","4,88",891948
Bangka Tengah,,63,"72,54",56083,"5,94","4,23",880957
Bangka Selatan,,53,"70,01",57693,"3,74","4,94",870846
Belitung Timur,,38,"73,62",82598,"6,36","2,63",1002601
Pangkal Pinang,,42,"80,9",82198,"4,04","5,98",1039382
Lampung Barat,Lampung,109,"72,41",31347,"10,68","2,09",688930
Tanggamus,,273,"70,54",31621,"10,28","3,19",607061
Lampung Selatan,,251,"72,15",53891,"12,57","4,84",659485
Lampung Timur,,255,"73,05",49275,"13,19","3,02",558800
Lampung Tengah,,305,"74,16",63663,"10,37","3,33",667769
Lampung Utara,,215,"71,42",48212,"16,92","5,85",567417
Way Kanan,,203,"71,17",38655,"10,43","3,27",684479
Tulangbawang,,142,"72,24",67726,"7,88","3,23",621903
Pesawaran,,140,"70,24",43308,"11,86","4,36",668624
Pringsewu,,123,"73,84",35552,"8,32","4,39",580589
Mesuji,,84,"68,59",58582,"6,31","2,85",631429
Tulang Bawang Barat,,97,"70,04",52209,"7,22","4,12",616035
Pesisir Barat,,94,"71,04",35637,"12,64","3,04",822140
Kota Bandar Lampung,,126,"80,46",65744,"7,37","7,44",800857
Kota Metro,,22,"80,41",48264,"6,78","3,71",784846
